video_id,comment_id,author_name,author_channel_id,text_display,text_original,like_count,published_at,updated_at
ULgcPz8iXmk,Ugy1mHAloniwAt-CCJp4AaABAg,@LuluLaila-x4w,UCtqTyv_RoMGtlHAz2IdmYTQ,"Inget kata pak ahok , orang miskin jgn lawan org kaya , org kaya jgn lwn pejabat , bangkrut km","Inget kata pak ahok , orang miskin jgn lawan org kaya , org kaya jgn lwn pejabat , bangkrut km",1,2026-01-14T09:40:40Z,2026-01-14T09:40:40Z
ULgcPz8iXmk,UgyhuLkiHi5ljM35ov94AaABAg,@AndrewKesuma,UCebRtfsZ3-kvXL_sbkAbVag,timoty harus dipenjara agar tidak ada  academy academy sampah,timoty harus dipenjara agar tidak ada  academy academy sampah,0,2026-01-14T06:55:00Z,2026-01-14T06:55:00Z
ULgcPz8iXmk,UgypZ7cb1WQdP-IHkCB4AaABAg,@Rianto-wc2ux,UCEeD3ZbjAcaW4AVgaHEFG3Q,"Belinya saat lagi fomo dipucuk dia, maunya cuan instant bang ya.....😂😂😂","Belinya saat lagi fomo dipucuk dia, maunya cuan instant bang ya.....😂😂😂",0,2026-01-13T23:07:45Z,2026-01-13T23:07:45Z
ULgcPz8iXmk,Ugyzz5cSw8xEzjc3aDF4AaABAg,@bermainguys4366,UCtuzZOcinOJHo5ogmbPf5vg,"Ini masalahnya tentang kerugian materi yg diinvestasikan..

Ceritanya :
Sedang ada ujian
Pak guru memberi bocoran ujian pasti benar..
Kemudian hasil ujian bocoran dari pak guru salah semua, dan murid2 dapat nilai 0

Kesimpulannya :
Jika pak guru memberi bocoran mesti mempertanggung jawabkan dong

Lain halnya jika pak guru hanya mengajar dan tidak perlu memberi bocoran itu baru benar...","Ini masalahnya tentang kerugian materi yg diinvestasikan..

Ceritanya :
Sedang ada ujian
Pak guru memberi bocoran ujian pasti benar..
Kemudian hasil ujian bocoran dari pak guru salah semua, dan murid2 dapat nilai 0

Kesimpulannya :
Jika pak guru memberi bocoran mesti mempertanggung jawabkan dong

Lain halnya jika pak guru hanya mengajar dan tidak perlu memberi bocoran itu baru benar...",0,2026-01-13T20:06:11Z,2026-01-13T20:06:11Z
ULgcPz8iXmk,Ugzv4wpeLB7kuU8WQud4AaABAg,@SafRizal-b9z,UCIOaf5QXUFT7YqQM_42hvaw,"Dia lapor karena rugi,coba kalau menang pasti diam ja...","Dia lapor karena rugi,coba kalau menang pasti diam ja...",0,2026-01-13T15:33:12Z,2026-01-13T15:33:12Z
ULgcPz8iXmk,Ugy9r2M2jHyDfkAUd_F4AaABAg,@bangtoba2553,UC53N1mPnXT7Z6aFJGsQN91A,Untung diem² Rungkat Lapor.,Untung diem² Rungkat Lapor.,0,2026-01-13T12:28:10Z,2026-01-13T12:29:32Z
ULgcPz8iXmk,Ugyq-dP4dBznuxrpQpd4AaABAg,@FkrRzq,UCQ1j-f2tpE5a-W27hPUfIlw,"KLO pandangan gue ya secara netral dan gaada memihak manapun, kalau Timothy bilang disclaimer/ Timothy juga masuk dan rungkad dikoin manta berarti sama² apes , kecuali Timothy adalah Dev dari  koin manta , menjanjikan project nya akan bagus tetapi dya malah menjual semua koinnya/ memindahkan ke wallet lain demi keuntungan pribadi dan mengorbankan komunitas baru bisa dibilang PENIPUAN","KLO pandangan gue ya secara netral dan gaada memihak manapun, kalau Timothy bilang disclaimer/ Timothy juga masuk dan rungkad dikoin manta berarti sama² apes , kecuali Timothy adalah Dev dari  koin manta , menjanjikan project nya akan bagus tetapi dya malah menjual semua koinnya/ memindahkan ke wallet lain demi keuntungan pribadi dan mengorbankan komunitas baru bisa dibilang PENIPUAN",0,2026-01-13T12:02:21Z,2026-01-13T12:02:21Z
ULgcPz8iXmk,Ugyru6YJAF97CDfLQOx4AaABAg,@Mewing_CatOfficial,UCO1QxlRX7PlIV28CSOc9fgA,"Pasar itu netral, yang kacau itu diri anda","Pasar itu netral, yang kacau itu diri anda",0,2026-01-13T12:00:44Z,2026-01-13T12:00:44Z
ULgcPz8iXmk,Ugy22fghs2nLbrnRiNV4AaABAg,@Zaka_Trans_Official,UCZzkCrtM50ckOCw2UgNya1g,Lah main sendiri yg di salahin timoty😂,Lah main sendiri yg di salahin timoty😂,0,2026-01-13T11:20:57Z,2026-01-13T11:20:57Z
ULgcPz8iXmk,Ugz46KJGYSAuoQ3lKfF4AaABAg,@imanmds5313,UCdHUytWyejgUm2ZQ1cjZPOQ,"Daftar sendiri, masuk sendiri, pencet sendiri, rungkat nyalahin org lain, sdm yg mem prihatinkan","Daftar sendiri, masuk sendiri, pencet sendiri, rungkat nyalahin org lain, sdm yg mem prihatinkan",0,2026-01-13T10:48:12Z,2026-01-13T10:48:12Z
ULgcPz8iXmk,Ugznka42lL2KDi3ADwF4AaABAg,@romaidar9594,UC5Uq_deHtMrCNHkTvVxDm6Q,Mantap,Mantap,0,2026-01-13T10:44:52Z,2026-01-13T10:44:52Z
ULgcPz8iXmk,UgxVpbrbusajJOdyyPh4AaABAg,@vanessawilliam9570,UCWuRcRFzZJwTW4xXzrYAOcA,"Kalau:
Memberi rekomendasi spesifik
Dalam skema berbayar
Ada ekspektasi keuntungan
➡️ Bisa dianggap:
Penawaran jasa investasi tanpa izin
Atau penipuan, jika ada unsur misleading.

Jadi… menyuruh beli MANTA = financial advising?
Secara substansi: YA, itu bisa dianggap financial advising.
Apalagi jika:
Dilakukan di grup tertutup
Ada positioning “mentor / expert”
Ada klaim potensi profit besar
Peserta awam & percaya otoritas pemberi sinyal
➡️ Inilah inti laporan polisi, bukan sekadar “harga turun”.

Tapi… harga kripto turun kan risiko pasar?
Betul. Turun harga saja ≠ pidana.
Yang membuat bermasalah secara hukum adalah jika terbukti:
Ada misleading statement (janji / framing)
Ada ketimpangan informasi
Ada otoritas semu (“ikut kami”)
Ada kerugian nyata
Ada hubungan sebab-akibat
Kalau semua unsur itu terpenuhi → pidana","Kalau:
Memberi rekomendasi spesifik
Dalam skema berbayar
Ada ekspektasi keuntungan
➡️ Bisa dianggap:
Penawaran jasa investasi tanpa izin
Atau penipuan, jika ada unsur misleading.

Jadi… menyuruh beli MANTA = financial advising?
Secara substansi: YA, itu bisa dianggap financial advising.
Apalagi jika:
Dilakukan di grup tertutup
Ada positioning “mentor / expert”
Ada klaim potensi profit besar
Peserta awam & percaya otoritas pemberi sinyal
➡️ Inilah inti laporan polisi, bukan sekadar “harga turun”.

Tapi… harga kripto turun kan risiko pasar?
Betul. Turun harga saja ≠ pidana.
Yang membuat bermasalah secara hukum adalah jika terbukti:
Ada misleading statement (janji / framing)
Ada ketimpangan informasi
Ada otoritas semu (“ikut kami”)
Ada kerugian nyata
Ada hubungan sebab-akibat
Kalau semua unsur itu terpenuhi → pidana",0,2026-01-13T10:16:49Z,2026-01-13T10:16:49Z
ULgcPz8iXmk,Ugx_cNs86wvisX-5Wml4AaABAg,@garroshhellscream7016,UC2cG5K-tx59ozexao6JRwOQ,"WOI PELAPOR Y BAGI DUIT DONG 3M
BUAT NAMBAHIN STOCK HOT,ROSE,VECHAIN, VTHO,HBAR,XLM,ZIL,RSR DAN SEBAGAINYA","WOI PELAPOR Y BAGI DUIT DONG 3M
BUAT NAMBAHIN STOCK HOT,ROSE,VECHAIN, VTHO,HBAR,XLM,ZIL,RSR DAN SEBAGAINYA",0,2026-01-13T10:05:09Z,2026-01-13T10:05:09Z
ULgcPz8iXmk,UgyauzVs44DA-c6wTMJ4AaABAg,@Maddg,UCi_rrmLEo_RubayymWrd-UA,Ngomong gaya selangit padahal penipu hahaha,Ngomong gaya selangit padahal penipu hahaha,0,2026-01-13T10:01:23Z,2026-01-13T10:01:23Z
